name,change,risk,predicted_return,risk_num,score,allocation
Siren,101.8577,High,81.49,3,27.162053333333333,16.08
τemplar,22.87802,High,18.3,3,6.100805333333334,3.61
Venice Token,18.3346,High,14.67,3,4.889226666666667,2.89
Chutes,16.71738,High,13.37,3,4.457968,2.64
Bittensor,16.14608,High,12.92,3,4.305621333333334,2.55
Artificial Superintelligence Alliance,13.7456,High,11.0,3,3.6654933333333335,2.17
ADI,13.01479,High,10.41,3,3.470610666666667,2.05
Aethir,11.37481,High,9.1,3,3.0332826666666666,1.8
The9bit,11.24533,High,9.0,3,2.9987546666666667,1.77
Monad,9.53272,High,7.63,3,2.5420586666666667,1.5
Render,8.44883,High,6.76,3,2.2530213333333333,1.33
Jito,8.42567,High,6.74,3,2.2468453333333334,1.33
Fartcoin,8.24351,High,6.59,3,2.198269333333333,1.3
Kaspa,7.38657,High,5.91,3,1.969752,1.17
Pudgy Penguins,6.81891,High,5.46,3,1.818376,1.08
Hyperliquid,6.79131,High,5.43,3,1.811016,1.07
Stellar,6.67868,High,5.34,3,1.7809813333333333,1.05
Akash Network,6.32082,High,5.06,3,1.6855520000000002,1.0
Basic Attention,6.25863,High,5.01,3,1.6689680000000002,0.99
Pendle,5.9784,High,4.78,3,1.59424,0.94
Sky,5.87262,High,4.7,3,1.566032,0.93
Bonk,5.68012,High,4.54,3,1.5146986666666666,0.9
dogwifhat,5.70178,High,4.56,3,1.5204746666666669,0.9
Virtuals Protocol,5.65536,High,4.52,3,1.508096,0.89
Melania Meme,5.49751,High,4.4,3,1.4660026666666666,0.87
BUILDon,5.49087,High,4.39,3,1.464232,0.87
Plasma,5.27023,High,4.22,3,1.4053946666666668,0.83
FLOKI,5.0614,High,4.05,3,1.3497066666666668,0.8
Kite,4.89749,High,3.92,3,1.3059973333333332,0.77
ZKsync,4.74467,High,3.8,3,1.265245333333333,0.75
LayerZero,4.66763,High,3.73,3,1.2447013333333332,0.74
Aave,4.71886,High,3.78,3,1.2583626666666667,0.74
Pump.fun,4.59894,High,3.68,3,1.226384,0.73
Lighter,4.44038,High,3.55,3,1.1841013333333337,0.7
Curve DAO,4.31457,High,3.45,3,1.150552,0.68
​​Stable,4.3334,High,3.47,3,1.1555733333333336,0.68
Ether.fi,4.15079,High,3.32,3,1.1068773333333333,0.66
Pepe,4.14922,High,3.32,3,1.1064586666666667,0.65
Sentient,4.1447,High,3.32,3,1.1052533333333334,0.65
Cardano,3.91578,High,3.13,3,1.044208,0.62
Ethereum Classic,3.86572,High,3.09,3,1.0308586666666668,0.61
PAX Gold,3.66415,High,2.93,3,0.9771066666666668,0.58
Mantle,3.60211,High,2.88,3,0.9605626666666668,0.57
Zcash,3.53669,High,2.83,3,0.9431173333333334,0.56
Tether Gold,3.57935,High,2.86,3,0.9544933333333332,0.56
Uniswap,3.46636,High,2.77,3,0.9243626666666668,0.55
Lido DAO,3.50802,High,2.81,3,0.9354720000000002,0.55
EigenCloud (prev. EigenLayer),3.48318,High,2.79,3,0.928848,0.55
Conflux,3.28548,High,2.63,3,0.8761280000000001,0.52
Beldex,3.21697,High,2.57,3,0.8578586666666667,0.51
Official Trump,3.15688,High,2.53,3,0.8418346666666667,0.5
Arweave,3.16171,High,2.53,3,0.8431226666666666,0.5
Compound,3.0747,High,2.46,3,0.8199200000000001,0.49
Dogecoin,3.08904,High,2.47,3,0.823744,0.49
SPX6900,3.01949,High,2.42,3,0.8051973333333334,0.48
Quant,2.96671,High,2.37,3,0.7911226666666668,0.47
Injective,1.96855,Medium,1.57,2,0.78742,0.47
Starknet,2.958,High,2.37,3,0.7888000000000001,0.47
Grass,2.91913,High,2.34,3,0.7784346666666667,0.46
POL (ex-MATIC),1.94468,Medium,1.56,2,0.777872,0.46
Jupiter,2.94569,High,2.36,3,0.7855173333333334,0.46
Walrus,1.9264,Medium,1.54,2,0.77056,0.46
RealLink,1.88344,Medium,1.51,2,0.753376,0.45
Celestia,2.85857,High,2.29,3,0.7622853333333334,0.45
Kinesis Gold,2.8693,High,2.3,3,0.7651466666666668,0.45
The Sandbox,2.81198,High,2.25,3,0.7498613333333334,0.44
Filecoin,2.7749,High,2.22,3,0.7399733333333334,0.44
Theta Network,1.85764,Medium,1.49,2,0.743056,0.44
Worldcoin,2.70548,High,2.16,3,0.7214613333333334,0.43
Sui,1.80231,Medium,1.44,2,0.7209240000000001,0.43
Morpho,2.72775,High,2.18,3,0.7273999999999999,0.43
Ondo,1.75523,Medium,1.4,2,0.702092,0.42
Hedera,1.72145,Medium,1.38,2,0.68858,0.41
Ethena,2.58841,High,2.07,3,0.6902426666666668,0.41
BNB,1.71883,Medium,1.38,2,0.687532,0.41
Aster,1.73196,Medium,1.39,2,0.692784,0.41
Arbitrum,2.62279,High,2.1,3,0.6994106666666667,0.41
Shiba Inu,1.67949,Medium,1.34,2,0.671796,0.4
Bitcoin SV,1.69553,Medium,1.36,2,0.678212,0.4
SafePal,2.50436,High,2.0,3,0.6678293333333335,0.4
Sonic,2.46393,High,1.97,3,0.657048,0.39
