name,change,risk,predicted_return,risk_num,score,allocation
River,12.72,High,10.17,3,3.39,5.25323484594127
Akash Network,10.03,High,8.02,3,2.6733333333333333,4.142668973888789
Venice Token,8.49,High,6.79,3,2.263333333333333,3.5073219866215553
GEKKO,8.0,High,6.4,3,2.1333333333333333,3.3058705028538955
Pi Network,7.71,High,6.17,3,2.0566666666666666,3.187065781657584
Zebec Network,7.27,High,5.81,3,1.9366666666666665,3.001110565872052
Aethir,7.24,High,5.79,3,1.93,2.990779720550634
Ether.fi,6.82,High,5.45,3,1.8166666666666667,2.815155350086521
The9bit,5.82,High,4.66,3,1.5533333333333335,2.407086959890493
Zano,5.48,High,4.38,3,1.46,2.262455125390635
Derive,5.39,High,4.31,3,1.4366666666666665,2.2262971667656704
Starknet,5.34,High,4.27,3,1.4233333333333331,2.2056354761228336
Qubic,4.61,High,3.69,3,1.23,1.9060409618016996
Melania Meme,4.54,High,3.63,3,1.21,1.875048425837444
XDC Network,4.3,High,3.44,3,1.1466666666666667,1.7769053952839693
Dash,4.23,High,3.38,3,1.1266666666666667,1.7459128593197137
WEMIX,4.18,High,3.34,3,1.1133333333333333,1.7252511686768768
Kite,4.08,High,3.26,3,1.0866666666666667,1.6839277873912033
World Liberty Financial,3.69,High,2.95,3,0.9833333333333334,1.523799684909218
Canton,3.4,High,2.72,3,0.9066666666666667,1.4049949637129058
Fluid,3.09,High,2.47,3,0.8233333333333334,1.2758593971951755
Humanity,2.83,High,2.26,3,0.7533333333333333,1.167385521320282
Sky,2.83,High,2.26,3,0.7533333333333333,1.167385521320282
Filecoin,2.7,High,2.16,3,0.7200000000000001,1.1157312947131899
​​Stable,2.68,High,2.14,3,0.7133333333333334,1.1054004493917715
Chutes,2.53,High,2.02,3,0.6733333333333333,1.043415377463261
Toncoin,2.49,High,1.99,3,0.6633333333333333,1.0279191094811333
RealLink,2.44,High,1.95,3,0.65,1.0072574188382966
Siren,2.32,High,1.85,3,0.6166666666666667,0.9556031922312044
Cap USD,2.26,High,1.81,3,0.6033333333333334,0.9349415015883676
Convex Finance,2.16,High,1.73,3,0.5766666666666667,0.8936181203026937
EigenCloud (prev. EigenLayer),2.04,High,1.63,3,0.5433333333333333,0.8419638936956017
Hyperliquid,1.88,Medium,1.51,2,0.755,1.1699682326506367
Cosmos Hub,1.83,Medium,1.46,2,0.73,1.1312275626953174
Bitcoin SV,1.74,Medium,1.39,2,0.695,1.0769906247578707
Aave,1.73,Medium,1.38,2,0.69,1.069242490766807
Morpho,1.67,Medium,1.34,2,0.67,1.0382499548025517
Monero,1.65,Medium,1.32,2,0.66,1.0227536868204241
Arweave,1.65,Medium,1.32,2,0.66,1.0227536868204241
Seeker,1.56,Medium,1.25,2,0.625,0.9685167488829773
KuCoin,1.47,Medium,1.18,2,0.59,0.9142798109455307
Berachain,1.45,Medium,1.16,2,0.58,0.8987835429634029
SafePal,1.35,Medium,1.08,2,0.54,0.8367984710348926
A7A5,1.34,Medium,1.07,2,0.535,0.8290503370438287
Official Trump,1.33,Medium,1.07,2,0.535,0.8290503370438287
Gate,1.32,Medium,1.06,2,0.53,0.8213022030527648
Bitcoin,1.26,Medium,1.0,2,0.5,0.7748133991063819
Mantle,1.22,Medium,0.98,2,0.49,0.7593171311242543
NEXO,1.21,Medium,0.97,2,0.485,0.7515689971331904
Conflux,1.14,Medium,0.91,2,0.455,0.7050801931868076
AINFT,1.13,Medium,0.9,2,0.45,0.6973320591957437
Ethereum,1.06,Medium,0.84,2,0.42,0.6508432552493608
Raydium,0.99,Medium,0.79,2,0.395,0.6121025852940417
THORChain,0.98,Medium,0.78,2,0.39,0.6043544513029779
Chiliz,0.94,Medium,0.75,2,0.375,0.5811100493297864
Zcash,0.9,Medium,0.72,2,0.36,0.5578656473565949
Jito,0.88,Medium,0.7,2,0.35,0.5423693793744673
HTX DAO,0.87,Medium,0.69,2,0.345,0.5346212453834035
Solana,0.84,Medium,0.68,2,0.34,0.5268731113923397
Sun Token,0.84,Medium,0.67,2,0.335,0.5191249774012758
WhiteBIT Coin,0.76,Medium,0.61,2,0.305,0.47263617345489295
Aster,0.73,Medium,0.58,2,0.29,0.44939177148170145
Pump.fun,0.65,Medium,0.52,2,0.26,0.40290296753531857
Vaulta,0.61,Medium,0.49,2,0.245,0.3796585655621271
BitTorrent,0.59,Medium,0.47,2,0.235,0.36416229757999946
JUST,0.58,Medium,0.46,2,0.23,0.3564141635889357
BNB,0.58,Medium,0.47,2,0.235,0.36416229757999946
Compound,0.58,Medium,0.47,2,0.235,0.36416229757999946
TRON,0.57,Medium,0.46,2,0.23,0.3564141635889357
Trust Wallet,0.56,Medium,0.44,2,0.22,0.340917895606808
LEO Token,0.54,Medium,0.43,2,0.215,0.3331697616157442
Chainlink,0.53,Medium,0.42,2,0.21,0.3254216276246804
Litecoin,0.53,Medium,0.42,2,0.21,0.3254216276246804
Ethereum Name Service,0.48,Low,0.38,1,0.38,0.5888581833208503
Kaia,0.47,Low,0.38,1,0.38,0.5888581833208503
Spiko EU T-Bills Money Market Fund,0.46,Low,0.37,1,0.37,0.5733619153387226
dogwifhat,0.45,Low,0.36,1,0.36,0.5578656473565949
Bittensor,0.42,Low,0.34,1,0.34,0.5268731113923397
Fartcoin,0.41,Low,0.33,1,0.33,0.5113768434102121
Render,0.39,Low,0.31,1,0.31,0.4803843074459567
Ethereum Classic,0.39,Low,0.31,1,0.31,0.4803843074459567
Artificial Superintelligence Alliance,0.38,Low,0.31,1,0.31,0.4803843074459567
eCash,0.34,Low,0.27,1,0.27,0.4183992355174463
